,spotify_id,name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,popularity
0,2plbrEY59IikOBgBGLjaoe,Die With A Smile,"Lady Gaga, Bruno Mars",0.521,0.592,6,-7.777,0,0.0304,0.308,0.0,0.122,0.535,157.969,3,
1,3sK8wGT43QFpWrvNQsrQya,DtMF,Bad Bunny,0.625,0.131,7,-27.405,0,0.0717,0.177,0.218,0.0807,0.032,136.02,4,
2,4wJ5Qq0jBN4ajy7ouZIV1c,APT.,"ROSÉ, Bruno Mars",0.777,0.783,0,-4.477,0,0.26,0.0283,0.0,0.355,0.939,149.027,4,
3,2lTm559tuIvatlT1u0JYG2,BAILE INoLVIDABLE,Bad Bunny,0.168,0.00332,10,-46.113,1,0.0615,0.192,0.79,0.112,0.219,119.387,3,
4,6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,4,
5,5TFD2bmFKGhoCRbX61nXY5,NUEVAYoL,Bad Bunny,0.142,0.195,6,-20.024,1,0.139,0.265,0.995,0.204,0.12,137.922,4,
6,7ne4VBA60CxGM75vw0EYad,That’s So True,Gracie Abrams,0.554,0.808,1,-4.169,1,0.0368,0.214,0.0,0.159,0.372,108.548,4,
7,59D4DOkspUbWyMmbAPQkxZ,VOY A LLeVARTE PA PR,Bad Bunny,0.148,0.604,7,-35.032,1,0.0588,0.921,0.453,0.405,1e-05,106.295,3,
8,35ISBknsCeZQtq66xABI9g,Messy,Lola Young,0.798,0.562,9,-5.913,1,0.0375,0.11,0.00606,0.122,0.647,110.991,4,
9,7tI8dRuH2Yc6RuoTjxo4dU,Who,Jimin,0.66,0.756,0,-3.743,0,0.032,0.00289,0.0,0.193,0.838,116.034,4,
10,2CGNAOSuO1MEFCbBRgUzjd,luther (with sza),"Kendrick Lamar, SZA",0.707,0.575,2,-7.546,1,0.125,0.251,0.0,0.248,0.576,138.008,4,
